Название университета + местоположение,Общее заключение по университету и финансированию,Наличие стипендий и финансирования (merit-based/need-based),Рейтинг,Локация,Процент принятия студентов (acceptance rate),Самые популярные специализации,Дедлайны подачи документов,Что необходимо подать? (ссылка + дополнительная информация),TOEFL/IELTS,SAT/ACT,GPA,Стоимость образования,Стоимость проживаня,Need-based scholarship (на основе финансов) ,Merit-based scholarship ,"% студентов, которые получают финансирование",Средняя сумма стипендии,Сбор за подачу документов + есть ли fee waiver,Контакты,Ссылки,,,,,,,,
Williams College,"Очень щедрый колледж. Готов покрыть все, если вы поступите, начиная платы за обучение, заканчивая, билетами на самолет. ",Дa,#21,"Виллиамстаун, Массачусетс",13%,"28% Social Sciences 
8% English        
8% Foreign Languages and Literature 
8% Mathematics 
8% Physical Sciences 
7% Biology 
7% History 
7% Psychology 
6% Computer and Information Sciences 
5% Visual and Performing Arts

https://www.williams.edu/academics/areas-of-study/",7:1 ratio,"1. Common Application , Coalition Application, или QuestBridge Application
2. Транскрипт 
3. Невозвращаемый сбор за подачу заявки $65 или fee waiver
4. Рекомендация учителя (2)
5.Школьный отчет
6. Транскрипт за середину года 

Не обязательно: 


1. Дополнение эссе вуз
(Студенты могут представить короткое эссе на одну из трех тем
2. Портфолио

https://www.williams.edu/admission-aid/apply/first-year/","TOEFL 
IELTS ",Не обязательно на 22 - 23 год,4.0,"$50,450",$13K,"Да Некоторые премии составляют в среднем 65 000 долларов в год. Наши пакеты финансовой помощи включают бесплатные учебники, лабораторные и художественные принадлежности, уроки музыки, хранение и один билет на самолет домой в оба конца каждый год.

Как иностранный студент, вы должны подать заявление на получение финансовой помощи при подаче заявления в Williams, если вы планируете обратиться за такой помощью в любой момент во время зачисления.","Почти 60 процентов наших иностранных студентов получают финансовую помощь от Уильямса, и их премии за помощь составляют в среднем 65 000 долларов США в год.",52%,65K,$65 or fee waiver,"admission@williams.edu - приемная комиссия

finaid@williams.edu -Офис по финансовой помощи","https://www.williams.edu/admission-aid/apply/first-year/

https://www.williams.edu/admission-aid/financial-aid/apply-for-aid/",,,,,$65 or a fee waiver,,,
Pomona College ,Вуз готов предоставить 100% финансирование на основе потребностей вашей семьи. ,"Дa, need - based",#23,"Клермонт, Калифорния",8%,"20% Social Sciences 
12% Interdisciplinary Studies 9% Mathematics 
8% Computer and Information Sciences 
7% Biology     
7% Physical Sciences 
5% Public Administration and Social Services

https://www.pomona.edu/academics",8:1 ratio,"
1. Невозвращаемый сбор за подачу заявки $70 или fee waiver
2. Транскрипт
3. Рекомендация консультанта и отчет о школе
4. Рекомендация .
5. Официальное подтверждение владения английским языком
6. Транскрипт за середину года
7. Специальные вопросы-эссе от колледжа 

Необязательно: 
SAT
Интервью
Творческое портфолио

https://www.pomona.edu/admissions/apply/how-apply

https://www.pomona.edu/admissions/apply/international-applicants","TOEFL 100
IELTS 7.0",Не обязательно,4.0,"$54,762 ","$14,718","Мы полностью удовлетворяем потребности принятых иностранных студентов. Прием иностранных абитуриентов зависит от потребностей, но Помона каждый год предлагает финансовую помощь примерно половине принятых иностранных студентов. Мы оцениваем каждого кандидата в их собственном местном контексте. Мы ценим разнообразие опыта, который могут привнести в наше сообщество студенты, окончившие среднюю школу за пределами Соединенных Штатов, и будем соответствующим образом оценивать заявки. Финансовые потребности студента определяются после тщательного изучения финансовых документов каждой семьи. Мы делаем все возможное, чтобы учесть уникальные обстоятельства каждой семьи.",Не доступно,66%,53K,$70 or fee waiver,"admissions@pomona.edu. - приемная комиссия
financial.aid@pomona.edu - Офис по финансовой помощи","https://www.pomona.edu/admissions/apply/international-applicants/international-applicant-faqs
https://npc.collegeboard.org/student/app/pomona - ne price calculator",,,,,$70 or a fee waiver,,,
Bowdoin College,"Очень избирательный вуз, но если усилить свой профиль и поступить в него, то они могут покрыть 100% твоих потребностей","Да, Need-based",#6 in National Liberal Arts Colleges," г. Брансуик, штат Мэн",9%,"https://www.bowdoin.edu/academics/departments-and-programs/index.html

31%Social Sciences
11%Biology
10%Area and Ethnic Studies
8%Mathematics
6%Physical Sciences
5%Computer and Information Sciences
5%History",6%,"Common Application 
интервью
баллы за языковой экзамен","100+ TOEFL, 
7.0+ IELTS","Не обязательно 

Ср. Балл SAT - 1300",3.93/4.0,"$55,822","$7,372",Может покрыть 100% твоих потребностей,Не доступно,48%,"$47,500",$65 ,admissions@bowdoin.edu ,"InitialView Interview, DET Interview, Vericant Interview https://www.bowdoin.edu/admissions/apply/international-students/index.html 


Также optional video response и личные интервью (online) https://www.bowdoin.edu/admissions/our-process/interviews/index.html 

https://www.bowdoin.edu/student-aid/apply-for-aid/international-students.html 

https://www.bowdoin.edu/student-aid/apply-for-aid/international-students.html",,,,, CSS + дополнительные формы https://srfs.upenn.edu/financial-aid/apply/prospective-UG-checklists/international ,$65,,
Colby College ,Вуз готов предоставить 100% финансирование на основе потребностей вашей семьи. ,"Дa, need - based",#71,"Уотервилл, Мэн",13%,"22% Social Sciences 
9% Environmental Science 
8% Interdisciplinary Studies 8% Psychology 
7% Biology       
7% Physical Sciences 
6% Area and Ethnic Studies          
6% Computer and Information Sciences 
5% English 
5% Mathematics

http://www.colby.edu/academics/majors-minors/",10:1 ratio,"Заполненная заявка на поступление: Колби принимает Common Application, Coalition Application, или QuestBridge Application. 
Академические записи: Нам требуется ваш транскрипт, заполненный отчет о средней школе от школьного консультанта, одна рекомендация консультанта и две рекомендации учителя.

https://www.colby.edu/admission/

https://www.colby.edu/admission/apply/#application-process","TOEFL 100
IELTS 7.0",Не обязательно,3.9,"$57,280",15K,"Колби удовлетворяет на 100% продемонстрированную потребность всех принятых студентов, независимо от гражданства. Финансовые потребности определяются уникальными финансовыми обстоятельствами каждой семьи.",Не доступно,52%%,48K,не надо платить,"finaid@colby.edu  - Офис по финансовой помощи

admissions@colby.edu - Приемная комиссия",https://www.colby.edu/admission/admissions-and-financial-aid-requirements/#international,,,,,,,,
Haverford College,"Хороший вуз, который может покрыть тебе 100% твоих потребностей. Но готов он дать такую большую стипендию только маленькому кол-ву студентов","Да, Need-based",#15 in National Liberal Arts Colleges,"Хаверфорд, штат Пенсильвания",20%,"https://www.haverford.edu/academics

28%Social Sciences
15%Physical Sciences
9%Biology
8%Foreign Languages and Literature
7%Computer and Information Sciences
7%Psychology
6%English
6%Mathematics",11.4% of student body,Common Application ,"Минимумы не написаны, но принимают DET, TOEFL и IELTS. Ориентироваться стоит на 100+ TOEFL, 7.5+ IELTS, DET 120+","Не обязательно 

Ср. Балл SAT - 1380-1540",4. 0,"$60,442","$10,320","Может предоставить маленькое кол-во стипендий для иностранных студентов, которые нуждаются в этом",Не доступно,44%,"$49,800",$65 or fee waiver,admission@haverford.edu - приемная комиссия,"Virtual interviews https://admission.haverford.edu/register/intvs2021 

https://www.haverford.edu/financial-aid/applying-financial-aid/international-applicants 

Virtual interviews https://admission.haverford.edu/register/intvs2021 

https://www.haverford.edu/financial-aid/applying-financial-aid/international-applicants ",,,,,CSS и доп фин формы,$65,,
Boston University,Вуз предоставляет всего 20 стипендий для американских и иностранных студентов. Они выдаются за ваши заслуги,"Да, Merit based",#40,"Бостон, Массачусетс",22%,"18% Business/Marketing
16% Communications /Journalism               
15% Social Sciences 
9% Biology 
8% Engineering  
7% Health Professions 
6% Psychology

https://www.bu.edu/academics/degree-programs/",10:1 ratio,"1. The Common Appliction.
2. Транскрипт. Вам нужно будет отправить оригиналы или заверенные копии учетных данных вашей страны в рамках вашей заявки. Все документы, написанные на иностранном языке, должны сопровождаться нотариально заверенным переводом на английский язык. Пожалуйста, обратите внимание, что требуются оба документа—оригинал на вашем родном языке и перевод на английский.
3. Тесты по английскому языку
4. Документация о финансовой поддержке","TOEFL 90
IELTS 7
Duolingo 120",Не обязательно,3.71,"$56,854",$21K,не доступно,"Бостонский университет предлагает 20 стипендий для американских и иностранных студентов. Trustee program охватывает полное обучение в бакалавриате, а также университетскую ориентацию и обязательную плату за обучение в бакалавриате и может быть продлена на четыре года при соблюдении определенных критериев.",58%,41K,"$80, or a fee waiver",intadmis@bu.edu - офис для международных студентов,"http://www.bu.edu/admissions/tuition-aid/
http://www.bu.edu/admissions/apply/faqs-helpful-forms/faqs/
http://www.bu.edu/admissions/apply/international/",,,,,,,,
Wellesley College (all women school),"Вуз может покрыть 100% вашего обучения, но только в том случае если вы детальный план по расходам и доходам вашей семьи, ведь вуз будет детально все изучать, потому что ресурсы ограничены. ","Дa, need - based",#24,"Уэсли, Массачусетс",20%,"25% Social Sciences 
13% Biology 
11% Computer and Information Sciences 
7% Area and Ethnic Studies 7% Psychology 
6% Foreign Languages and Literature 
5% English 
5% Mathematics 
5% Physical Sciences 
5% Visual and Performing Arts

https://www.wellesley.edu/academics/deptsmajorprog",8:1 ratio,"1. Приложение
2. Эссе
3. Аттестат о среднем образовании
4. Стандартизированные тесты
5. Экзамены на знание английского языка
","""TOEFL
IELTS
Duolingo""",Не обязательно,3.9,"$58,120","$18,000","Уэллсли удовлетворит 100% потребностей всех принятых студентов. Его цель-поддержать высококвалифицированных кандидатов, которые иначе не смогли бы поступить в Уэллсли. Из-за острой конкуренции за эти средства кандидаты должны подавать заявки на них только в том случае, если семейные ресурсы не могут адекватно покрыть расходы на колледж. При определении размера предоставляемой помощи Колледж изучает финансовые ресурсы студентки и ее семьи с помощью информации, представленной в формах финансовой помощи. Всем заявителям на получение финансовой помощи требуется хорошо сформулированный финансовый план.",Не доступно,59%,52K,$50,https://www.wellesley.edu/admission/contact,"https://www.wellesley.edu/sfs/cost

https://www.wellesley.edu/admission/apply/international/instructions",,,,,,,,
Johns Hopkins University,"Можно получить Need-based, merit-based стипендии. Но здесь достаточно большой конкурс, так как это топовый вуз. В основном щедрые стипендии они выдают 10% от всех поступающих ",Да,#10,"Балтимор, Мэриленд",10.00%,"29%Engineering
22%Biology      
22%Health Professions 
14%Social Sciences
https://e-catalogue.jhu.edu/programs/",,"1. Заполненная заявка Сommon App
2. Отчет о средней школе и транскрипт с отметками
3. Два Рекомендательных Письма
4.  SAT (необязательно).
https://apply.jhu.edu/application-process/deadlines-and-requirements/","TOEFL 100 
IELTS 7","Не обязательно на 2022 год. 
Ср. балл - 1470-1570",3.9,"$54,160",$20K,"Хопкинс предлагает стипендии на основе потребностей для иностранных студентов-бакалавров. Примерно 10% поступающих иностранных первокурсников получили стипендии на основе потребностей. Средняя стипендия составляет 25 000 долларов, но отдельные суммы могут быть больше или меньше, в зависимости от финансовых потребностей студента","Стипендии, основанные на заслугах, присуждаются на основе академических и личных достижений и не подлежат возврату.",70%,42K,"$70, or a few waiver",gotojhu@jhu.edu - приемная комиссия,"https://finaid.jhu.edu/undergraduate-aid/international-students/
https://finaid.jhu.edu/undergraduate-aid/types-of-aid/grants-scholarships/
https://apply.jhu.edu/application-process/",,,,,,,,
Northweasten University,"Этот вуз принимает маленькое кол-во студентов и скорее всего потребует SAT. Но если вы поступите, то у вас будет возможность получить полное финансирование, которое будет покрывать учебу, проживание и другие расходы.","Дa, need - based",#9,"Эванстон, Иллинойс",9%,"22% Social Sciences 
13% Communications/ Journalism 
13% Engineering 
8% Biology          
8% Visual and Performing Arts 
7% Psychology 
6% Mathematics 
5% Computer and Information Sciences

https://www.northwestern.edu/academics/colleges-and-schools.html",,"https://admissions.northwestern.edu/apply/requirements.html

1. Common Application или Coalition Application*
2. Транскрипт
3. Рекомендация консультанта
4. По крайней мере, одна рекомендация от учителя
5. Баллы SAT или ACT (НЕОБЯЗАТЕЛЬНО для 2020-21)
6. Официальное подтверждение владения английским языком
7. Невозвращаемый сбор за подачу заявки $75 или fee waiver
8. Соглашение о досрочной подаче документов (ТОЛЬКО кандидаты, которые решили подать документы раньше основного дедлайна)
9. Транскрипт за середину года","""TOEFL
IELTS
Duolingo""","Не нужно было сдавать на 2021 год, про 2022 еще не известно

Ср. балл - 1470-1570",4 . 0,"$56,691",$17K,"Удовлетворяют 100% продемонстрированных финансовых потребностей студента.
Включая (обучение, проживание и питание, сборы, медицинская страховка, книги и расходные материалы, личные расходы и командировочные).",Не доступно,66%,$45K,$75,"ug-admission@northwestern.edu - приемная комиссия

intoff@northwestern.edu -  Офис для иностранных студентов","https://undergradaid.northwestern.edu/apply-for-aid/prospective-students/international-students-application-instructions.html
https://admissions.northwestern.edu/apply/requirements.html",,,,,,,,
Carleton College,Есть возможность получить и need based и merit - based стипендии. Need based - может покрыть 100%. merit-based может покрыть только около 10к в год.,Да,#40,"Нортфилд, Миннесота",20%,"20% Social Sciences 
14% Physical Sciences  
10% Computer and Information Sciences 
9% Biology 
9% Mathematics 
9% Visual and Performing Arts 
8% Psychology 
5% English 
5% Philosophy and Religious Studies

https://apps.carleton.edu/academics/",9:1 ratio,Common Application ,"TOEFL 100
IELTS 7.0
Duolingo 120",Не обязательно,3.9,"$56,778","$14,000","Карлтон считает, что все поступившие студенты должны иметь возможность посещать занятия независимо от их финансового положения. Поэтому колледж стремится предоставлять финансовую помощь, которая полностью удовлетворяет продемонстрированные финансовые потребности студентов в течение всех четырех лет.","Стипендии Фрича и Джеймса Вудворда: Обе стипендии присуждаются поступающим студентам в размере 10 000 долларов в год в виде грантов на общую сумму 40 000 долларов во время обучения в Карлтоне.""",55%,52K,?,admissions@carleton.edu - приемная комиссия,"https://athletics.carleton.edu/index.aspx
https://www.carleton.edu/admissions/apply/afford/
https://apps.carleton.edu/campus/sfs/costs/

https://www.carleton.edu/admissions/apply/steps/international/",,,,,no fee,,,
California Institute of Technology,"Можно получить финансовую помощь на основе потребностей, но она очень ограничена. И ее можно получить только, если вы подаетесь на Regular Decision","Дa, need - based",#12,"Пасадена, Калифорния",7%,"35% Engineering 
27% Computer and Information Sciences 
22% Physical Sciences 
10% Mathematics 
5% Biology

https://www.caltech.edu/academics",3:1 ratio,"1. Common Application или the Coalition Application with Caltech Questions
2. Взнос в размере 75 долларов США или fee waiver (по запросу)
3. Стандартизированные тесты
4. Оценки учителей
5. Отчет о средней школе. Это документ, который отправляется в Калифорнийский технологический институт вашим школьным консультантом. В нем содержится информация о вашей школе, которая помогает Приемной комиссии всесторонне оценить ваше заявление.
6. Транскрипт
7. TOEFL
8. Заявление о получении международной финансовой помощи",TOEFL,Не обязательно на 22 год,3.5,"$54,600","$18,993","Когда иностранный гражданин подает заявление на поступление на первый курс, в заявлении запрашиваются вопросы о финансовой помощи. Калтех чувствителен к потребностям иностранных граждан, поскольку общая сумма средств финансовой помощи для этих студентов ограничена, и мы по-прежнему привержены удовлетворению продемонстрированных потребностей всех принятых студентов. Иностранный гражданин, который подает заявление в качестве кандидата на первый курс в соответствии с планом Early Action, не должен рассчитывать на финансовую помощь. Если вы являетесь иностранным гражданином, который планирует подать заявление на получение финансовой помощи, вы должны подать заявление через Regular Decision",Не доступно,64%,42K,$75 or a fee waiver,ugadmissions@caltech.edu - приемная комиссия,http://admissions.divisions.caltech.edu/apply/first-yearfreshman-applicants/international-citizens,,,,,,Yes,,
