University	City	"World University 
Rankings"	"University 
Ranking"	Program	Requirements	IELTS/TOEFL	Deadline	LINK	Tuition fee	Scholarship	Contacts	Extra
 Huazhong University of Science and Technology (WNLO)	Wuhan	THE2023#176	"QS
#275
"	"Clinical Medicine
Pharmacy
 Mechanical Design, Manufacturing and Automation
International Economics and Business
Biomedical Engineering
Telecommunications Engineering
"	"1. Photocopy of valid ordinary passport (expiry date should be after December 31, 2024).
2. Applicants currently residing in China must provide a copy of the page containing a valid visa or residence permit.
3. Applicants in category Eligibility and Requirements 2 must provide:
(1) copies of all passports he/she used to have.
(2) all copies of visa or residence permit relevant to stay in Mainland China, Hong Kong, Macau or Taiwan.
4. Physical Examination Form(Please click to download).
5. Certificate of Non-criminal Record. (A certificate issued by the police station or law enforcement agency certifying that you have no previous criminal record).
6. Financial Certification/Bank Statement (5,000 USD or above).
7. Applicants who are under the age of 18 by September 1, 2024 should submit the power of attorney of guardian and the letter of guarantee of guardians in China."	"TOEFL 80 or above;

IELTS 5.5 or above;"	November 1, 2023 to June 30, 2024	https://english.hust.edu.cn/ABOUT.htm	5100$-7300$	https://iso.hust.edu.cn/Scholarships/Chinese_University_Program_CUP_.htm	"Tel: +86-27-87542457  

Fax: +86-27-87792118

Email: apply@hust.edu.cn"	
Tongzhi University	Shanghai	 THE2023#296	"QS
#216"	"International class of Architecture and Urban planning
Medicine MBBS
Civil Engineering"	"1. Personal information page of the passport (Passport valid until January 30, 2025 and beyond)；
2. High school diploma;
3. Original or notarized transcripts of all courses in high school;
4. Proof of language proficiency
Certificate of HSK5 Chinese Proficiency Test with a score of 180 (inclusive) or above (valid for 2 years).
5. Personal statement;
6. Physical examination form for foreigners (within six months) or a current valid Chinese visa.
7. Certificate of payment for the registration fee;"	IELTS 6.0 or above	" November 20, 2023 to January 20, 2024
March 1, 2024 to April 20, 2024"	https://en.tongji.edu.cn/p/#/	5000$-6500$	https://study.tongji.edu.cn/English/ADMISSION/Schools_and_departments.htm	"Ms. Fang Email: 18123@tongji.edu.cn  Tel.: 021-65980380

Hotline: 021-65983611"	
Jilin University 	Jilin	"THE
#1080

"	"QS
#505
"	"Sciences
Engineering 
Agricultural Sciences 
 Physical Education 
 Law 
MBBS
"	"1. Personal information page of the passport.
 2. High school diploma. For fresh high school graduates, proof of expected graduationfrom the high school should be issued.
 3. Transcripts of all high school courses. 4. A score of 180 points or above in HSK Level 
4 is required for programs taught inChinese.
6. Applicants who have given up their original Chinese citizenship and joined foreigncitizenship and both or one of whose parents have Chinese citizenship should submit:
(1) proof of having joined foreign nationality for at least 4 years; (2) passport entryand exit records from April 30, 2019 to April 30, 2023. 7. Applicants under 18 by September 1, 2023 must submit: a letter of guarantee froma guardian, who must be an adult residing in Changchun. 8. Foreigner Physical Examination Form (This form is printed by the Chinesequarantine authority and must be completed in English). The applicant shouldcomplete each item of the examination in strict accordance with the requirements of
the examination form. Incomplete records or those without a photograph of theapplicants, without the signature of a doctor, or the official stamp of the hospital areinvalid, and the examination results are valid for 6 months. 9. Certificate of deposit."	"TOEFL 80 or above;

IELTS 5.5 or above;"	March 1 - July 15	https://cie.jlu.edu.cn/Home/Home.htm	2700$-4300$	https://cie.jlu.edu.cn/info/1100/1962.htm	"Tel (Chinese/English): +86-431-85166885 /+86-431-85166518
Fax: +86-431-85166517
Email: study@jlu.edu.cn"	
Beihang University 		"THE
#508"		"School of Electronic and Information Engineering
School of Aeronautic Science and Engineering
School of Mechanical Engineering and Automation
School of Economics and Management"	"1. Applicants must be in good physical and mental health, with proper moral conduct, friendly to China, between the ages of 18 and 22, and have attained a senior high school diploma.

2. Applicants must be non-Chinese citizens with a valid passport , meet the conditions set by the Document No. 12 (2020) of Ministry of Education of the PRC ."	"90 or above in TOEFL
, 6 or above in IELTS,
105 or above in Duolingo"	"October 15, 2023

Application Deadline: May 30, 2024"	https://is.buaa.edu.cn/en/index.htm	4800$	https://is.buaa.edu.cn/en/lxsq/bks/ywskbks.htm	"Tel: +86-10-82339158，+86-10-82316488

Fax: +86-10-82339326

E-mail: undergraduate@buaa.edu.cn"	
Xiamen University (XMU)	Xiamen	 THE2023#502	"QS
#396"	Clinical Medicine (MBBS)	"1. A scanned copy of the first page of the passport (regular passport, valid at least through October 31, 2024)
2. Birth Certificate
3. Parents’ Identity Documents
4. Senior High School Diploma and the Academic Transcripts
(1) Certificate of Expected Graduation and the academic transcripts for graduating senior high school students. Official Senior High School Diploma should be provided before their entry to XMU in September of the academic year.
(2) The originals of the diplomas and certification documents should be made available upon registration for review.
5. Language Proficiency Certificate: marked under the “Application Requirements” section.
6. One Letter of Recommendation with information of the recommender’s names, employer, work position and contact information, signed by the recommender or with the stamp of the recommending organization.
7. Personal Statement (minimum 800 words), which should include a self-introduction, educational experience, motivations, study plan and career aspirations. It needs to be written in Chinese for Chinese-medium programs, in English for English-medium programs.
8. Pre-Acceptance Letter. Priority of admission will be given to applicants have acquired the pre-acceptance letter stamped by the college.
9. Physical Examination Record for Inbound Travelers including chest X-ray image, electrocardiogram, laboratory exam results and data sheets of some required items, with the lower part of the applicant’s photo stamped by the hospital. Physical examination results are valid for 6 months.
10. Financial Support Guarantee Statement and its supporting documents. Applicants for scholarships are not exempt from this requirement.
11. No Criminal Record Report. The applicants shall submit a valid No Criminal Record Report issued within 6 months before the date of submission of the application.
12. Other supporting documents, such as competition awards, merit certificates, community service or special skills certificates (if applicable), may be submitted in the “Other Supporting Materials” section in the application system as well."	"IELTS 6.0 or above
TOEFL 80 or above"	Dec. 1, 2023-Apr. 10, 2024	https://en.xmu.edu.cn/main.htm	5600 $	application.xmu.edu.cn	"MBBS Center, XMU School of Medicine
Tel: +86 (0)592 2186901
Email: mbbs@xmu.edu.cn
Website: http://mbbs.xmu.edu.cn"	
Tianjin University 	Tianjin 	 THE2023#489	"QS
#288"		"1). Photocopy of Passport;
2). Certified highest diploma or degree certificate; or an official Certificate of Enrollment for the ones still studying at school;
3). Certified official transcript;
4). Study Plan or Research Proposal (Graduate students only);"			http://www.tju.edu.cn/english/Admissions/Undergraduate.htm		http://www.tju.edu.cn/english/Admissions/Scholarships.htm		
Southeast University	Nankin	THE2023#482	" QS
2024
#458"	"School of Electrical Engineering
School of Foreign Languages
School of Chemistry and Chemical Engineering
School of Transportation
School of Instrument Science & Engineering
School of Arts
School of Medicine
School of Public Health
School of Architecture 
School of Mechanical Engineering
School of Energy &Environment
School of Information Science and Engineering
School of Civil Engineering
School of Electronic Science and Engineering
The Department of Mathematics
School of Automation
School of Computer Science and Engineering"	"1. Personal information page of the passport.
 2. High school diploma. For fresh high school graduates, proof of expected graduationfrom the high school should be issued.
 3. Transcripts of all high school courses. 4. A score of 180 points or above in HSK Level 
4 is required for programs taught inChinese.
6. Applicants who have given up their original Chinese citizenship and joined foreigncitizenship and both or one of whose parents have Chinese citizenship should submit:"	"IELTS 6.0+
TOEFL IBT 80+"		https://cis.seu.edu.cn/	2300$- 3000$	"
    
https://cis.seu.edu.cn/13931/list.htm"	"Tel.: 0086-25-83793022/ 83792797

Fax: 0086-25-83792737

E-mail: admission@seu.edu.cn ; http://cis.seu.edu.cn"	
The South China University of Technology (SCUT)	Guangzhou	" THE
2023
#481"	 QS2024#394	"School of Mechanical and Automotive Engineering
School of Architecture
School of Civil Engineering and Transportation
School of Electric Power
School of Electronic and Information Engineering
School of Automation Science and Engineering
School of Mathematics"		"IELTS 6.0+
TOEFL IBT 80+"					"Tel: +86-20-87110009
E-mail: j2xb@scut.edu.cn
"	
Shanghai University 	Shanghai 		" QS
2024
#519"	"Environmental Engineering
Electrical Engineering &
Automation
Civil Engineering
International Economics & Trade
Business Administration 
Finance
"	"Passport copy
ID photo
Selfie video
Highest Degree Certificate and Official Transcripts
Certificate of No Criminal Record
Language Proficiency Certificate
Study Plan or Research Proposal in China
Statement of Financial Support
Guarantee Statement （under 18 years old）
Others（Refer to Departmental standards）"	IELTS (A) 6.5 or TOEFL IBT 90 or above	November 30th, 2023 to June 30th, 2024.	https://apply.shu.edu.cn/	4400$	https://apply.shu.edu.cn/application/scholarships	"Tel: 0086-21-66136615
Email: apply1@oa.shu.edu.cn"	
Renmin University of China 	Beijing	 THE#752		"Principles of Management
Microeconomics
Mathematical Foundations I
Organizational BehaviorLeadership
 Theory and PracticePrinciples of Accounting
Business Ethics and Social Responsibility
Mathematical Foundations I
IPrinciples of Marketing
Human Resources 
ManagementFinancial 
Management
Managerial Communication"	"Outstanding in academic performance and extracurricular activities
Goal-oriented, self-motivated, and strong-willed
Open-minded, proactive, and friendly
Proficient in English
Healthy both physically and mentally"	above 85 in TOEFL or above 6.0 in IELTS.	The final application deadline is May 31	https://en.ruc.edu.cn/collaboration.html	5200 $	https://globalbba.rmbs.ruc.edu.cn/web/fees_funding.php	"86 10 82509143 / 62516552
Nancy YUAN (Program Manager)/ Yinping WANG (Office Director)
globalbba@rmbs.ruc.edu.cn
"	
Xi’an Jiaotong-Liverpool University (XJTLU)	 Suzhou			"ACADEMY OF FILM AND CREATIVE TECHNOLOGY
ACADEMY OF FUTURE EDUCATION
ENTREPRENEUR COLLEGE 
DESIGN SCHOOL
SCHOOL OF HUMANITIES AND SOCIAL SCIENCES
INTERNATIONAL BUSINESS SCHOOL SUZHOU
SCHOOL OF SCIENCE"	"A-level: BBB
IB Diploma: 30 points
AP Exams/ACT Tests/SAT II Subject Tests – High school diploma with a GPA of 3.0/4.0 or above, plus:
3 AP exams: 4, 4, 4 or
SAT I: 1280 or ACT: 27, and 2 AP exams: 4, 4 or
3 SAT II Subject Tests (taken prior to cancellation in 2021): 600, 600, 600"	"IELTS 6.5 (min 5.5 in all sections)
TOEFL: 90 (iBT) (min 21 in any skill)"	15-30 June 2024.	https://www.xjtlu.edu.cn/en/admissions/global/ug	12800$	https://www.xjtlu.edu.cn/en/admissions/global/fees-and-scholarships	"Tel: +86 512 8816 1889

International Recruitment enquiries: international@xjtlu.edu.cn"	
Hong Kong University of Science and Technology	Hong Kong			"Biochemistry and Cell Biology
Bioengineering
Biotechnology
Biotechnology and Business
Business with an Extended Major in Artificial Intelligence / Digital Media and Creative Arts
Chemical and Environmental Engineering
Chemical Engineering
Chemistry
Civil and Environmental Engineering
Civil Engineering
Computer Engineering
Computer Science
Data Analytics in Science
Data Science and Technology
Decision Analytics
Dual Degree Program in Technology & Management
and more/ 49+ programs"	"Copies of national ID card and/or travel documentation 
A personal statement 
School reports from Grade 10 onwards 
Proof of English language proficiency 
Public examination result certificates, if any 
Proof of significant prizes and/or awards, if any 
Nomination of an academic referee 
Nomination of IB Coordinator or Career Counselor (for students taking the IB, GCE-AL/IAL/Cambridge Pre-U or Indian High School Examination) 
Application fee of HKD450 (~USD58)"	"(iBT) Total Score (in one sitting): 80
Overall Band: 6.0 

(IELTS Academic for UKVI is also accepted.)"	30 June  2024	https://hkust.edu.hk/	21,800$	https://join.hkust.edu.hk/fees-and-scholarships	"EMAIL ADDRESS
ugenquiry@ust.hk
TELEPHONE
(+852) 2623 1118"	
Lingnan University	Hong Kong			"Arts
Business
Social Sciences
Interdisciplinary"	"You should support all information provided by uploading relevant documents (in English or Chinese, or together with officially certified English/Chinese translations if the documents are not in English/Chinese), including:
transcript
certificate
testimonial
public examination results, etc.
to your application. You will be asked to present the original documents for verification if you are offered admission."	"Overall band score of 6.0 in Academic Module
a score of 79 (internet-based test / iBT Home Edition"	27 September 2023 to 15 May 2024 	https://www.ln.edu.hk/	17900$	https://www.ln.edu.hk/admissions/ug/fees-and-awards/scholarships	"(852) 2616 8750

Fax

(852) 2572 5178 or (852) 2454 4379

Email
UGadm@LN.edu.hk
"	
Shandong University	Jinan			"Clinical Medicine
Biomedical Engineering
Machine Design, Manufacturing and Automation
Electrical Engineering
Business Administration
Tourism Management
Nursing Science
English"	"1. The biographic page of the applicant’s passport 
2. The high school diploma or equivalent or pre-graduation certification. If the applicant has not received the high school diploma or equivalent yet, a pre-graduation certification should be presented to affirm the applicant will graduate soon (the official seal of the school must be affixed).
3. Transcripts of all courses taken when pursuing the high school degree (the official seal of the school must be affixed).
4. A letter of motivation in Chinese or English.
5. Language proficiency proof.
6. Foreigner Physical Examination Form.
7. Certificate of No Criminal Conviction.
8. Scanned copies of Statement of Financial Support through a Guarantor and its supporting documents (Applicants who apply for the Chinese Government Scholarship and don’t accept any adjustment are exempt from these requirements, and the others must provide the required documents.)"	 IELTS (6.0 or above), TOEFL (80 points or above	January1st till May 31st, 2024	http://www.istudy.sdu.edu.cn	3800$-6600$	"1. For detailed information of Chinese Government Scholarship, please visit: 

https://www.campuschina.org/scholarships/index.html

2. For detailed information of SDU Scholarship, please visit: 

https://www.istudy.sdu.edu.cn/info/1367/3334.htm"	"Phone: +86(0)531-88364854

Fax: +86(0)531-88565051

Email: admission@email.sdu.edu.cn"	
Shenzhen University (SZU)	Shenzhen			"Liberal arts
Science & Engineeringr
Medicine, Arts, Physical"	"1. Scanned copy of high school certification and transcript. Recent graduates shall provide pre-graduation certificate which shows your expected graduation time and present the original high school certification, transcripts, and their translations when you register.
2. Photo Copy of Passport Info Page
3. Passport Photo
4. Language Proficiency Certificate (The language proficiency certificate must be within the validity period)
5. Foreigner Physical Examination Form
6. Resume (from primary school to now)
7. Two Recommendation Letters should be provided if applying for Guangdong Government Outstanding International Student Scholarship. (email, phone number and signature should be included.)
8. Study Plan should be provided if applying for Guangdong Government Outstanding International Student Scholarship (around 500 words)."	IELTS 5.5 or above, TOEFL IBT 80 or above	From February 21 to May 15	https://en.szu.edu.cn/index.htm	3800$- 5900$	https://en.szu.edu.cn/info/1023/1263.htm	"Tel: 0086-755-26558894

E-mail: szulxs@szu.edu.cn"	
Аntai college of economics and management	Shanghai 			"-Mechanical Engineering
-Electrical and Computer Engineering
-Materials Science and Engineering
-Computer Science and Technology-Information Engineering
-Automation
-Naval Architecture and Ocean Engineering
-Power and Energy Engineering
-And more
"	"1. Test Scores
2. English language requirements
3. Recommendation Letters
4. High School Transcripts5.Other documents
5.1 Financial guarantee proven deposit of no less than RMB 100,000 (or equivalent in foreign currency).
5.2 The nationality or household registration certificate of both the applicant's parents (Passport or ID card).
"	"TOEFL (iBT): Total score 84 or above. Mybest Scores are accepted.

 IELTS: Overall 6.0 or above."	"February 15, 2024~ March 1, 2024(Beijing Time, GMT+8)

"	https://www.acem.sjtu.edu.cn/en/programs.html#m4	11600$	https://isc.sjtu.edu.cn/EN/content.aspx?info_lb=213&flag=2	"Post code: 200240

Tel: 86-21-54743244

E-mail: isc.d@sjtu.edu.cn"	
Harbin University of Commerce	Harbin 			"International Economics and Trade
Business Management
Marketing and Sales
Accounting
Financial Management
Foodstuff Science and Engineering
Chinese Pharmacology
Energy and Power Engineering
Tourism Management
Cooking and Nuitrition Education"	"I. Application and Admission
1. Applicants who are under 45 years old and have diploma of high school could be admitted to our university with following materials:
(1) Application form
(2) High school diploma and school record
(3) HSK 6 (Chinese language proficiency) or above
II. Registration and Enrollment
1. Freshmen are supposed to finish following procedures before deadline with admission notice:
(1) Eight Two-inch passport-size photos;
(2) Fill in Registration Form for International Students;
(3) Admission Notice, Application Form for International Students, Proof of Insurance;
(4) Pay registration fee, tuition and insurance fee."	"TOEFL (iBT): Total score 84 or above.

 IELTS: Overall 6.0 or above."		http://hrbcu.admissions.cn/info/Harbin%20University%20of%20Commerce	2600$ 	http://hrbcu.admissions.cn/schoolScholarship	" Email: application@at0086.com

 Phone: +86-13971597893"	
Chongqing University	Chongqing 			"School of Foreign Languages and Cultures
College of Arts
Sports Education
Meishi Film Academy
School of International Education
Liberal Arts College
Hongshen Honors School
Institute for Advanced Studies in Humanities and Social Sciences  
Economics and Business Administration
School of Journalism and Communication
Law School
Marxist Theory Teaching ＆ Research Institution                            
Development Research Center and more "	"Personal information page of passport
Notarized high school diploma
High school official transcripts.
Proof of Chinese language proficiency. Score report of HSK level 4 (≥210) within the validity or other Chinese language proficiency proof.
Physical examination form 
Certificate of Non-criminal record.
Financial statement or bank statement. The available balance should be no less than 30, 000 RMB (The minimum amount of financial proof for full scholarship applicants may be appropriately lowered).
A Personal Statement.
Study or Work certificate. 
Other supporting materials required by the specific program"	"TOEFL (iBT): Total score 80 or above.

 IELTS: Overall 6.0 or above."	May 15th	http://study.cqu.edu.cn/HOME.htm	2000$-4400$	http://study.cqu.edu.cn/info/1887/1936.htm	"Tel: +86-23-65111001; +86-23-65111066

Email: admissions@cqu.edu.cn"	
Dalian University 	Dalian	THE2024#423	"QS
#493"	"Faculty of Mechanical Engineering, 
Materials and Energy
Faculty of Chemical,
Environmental and Biological 
Science and Technology
Faculty of Electronic Information and Electronical
EngineeringFaculty of Infrastructure Engineering
Faculty of Vehicle Engineering and Mechanics
Faculty of Medicine
School of Marxism
School of Sport and Health Sciences and more"	"1. Upload the online application at http://iso.dlut.edu.cn
2. Upload the following documents in the online application system, one photo, TOEFL or IELTS Certificate, or English-Medium certification issued by graduated high school, diploma of high school, school transcript, Financial Certification, Certificate of No-Criminal Conviction, Physical Examination Form and passport copy.
3. Applicants once admitted, the Admission Notice, the Application for Entry Form (JW202) and Physical Examination Form will be sent to the enrolled applicants, who could apply for an entry visa to China by presenting the above-mentioned documents, personal passports and the Physical Examination Records to the Chinese Embassy or Consulate in their respective countries."	TOEFL (Score 80 or above) or IELTS (Score 5.5 or above)	November 1 to ought to complete the application before the end of June	http://sie.dlut.edu.cn/English/Admissions/Degree_Programs/Bachelor_Programs1.htm	3800$	http://sie.dlut.edu.cn/English/Scholarship1/CSC_Scholarship/Chinese_University_Program.htm	Admission counseling：(86)-411-84706048/84779078 Email：dutsice@dlut.edu.cn	
Central South University	Changsha	"THE
#359
"	"QS
2024
#454"	"Principles of Management
Microeconomics
Mathematical Foundations I
Organizational BehaviorLeadership
 Theory and PracticePrinciples of Accounting
Business Ethics and Social Responsibility
Mathematical Foundations I
IPrinciples of Marketing"	"1) Applicants are required to upload a video of self-introduction within one minute, and those who have got HSK certificates must use Chinese to introduce themselves. The video must be in MP4 format with a capacity of less than 40MB.  
2) Photocopy of the first page of passport (Over one-year availability)
3) Photocopy of Foreigner Physical Record. Applicants should strictly be examined in accordance with the requirement of  Physical Examination Record.pdf. Incomplete form (including sheets with no photos, no signs, and stamps of physicians and hospitals) is regarded as invalid. The examination date shall be after December 1, 2021. The original record is required during registration.
4) Photocopy of Highest Graduation Certificate (or notarized Chinese/English translated document). If the applicant is currently a student, the pre-graduation certificate issued by school is required.
5) Transcript of the Highest Diploma (or notarized Chinese/English translated document).
6) Stamped Non-criminal Record. The issue date shall be after December 1, 2021.
7) Transcript of HSK or other documents to prove your linguistic competence.
8) Applicants under the age of 18 but above 16 must provide ID certificates, employment certificates, and a letter of commitment of the guardian living in China.
9) Bank deposit certificate. Make sure there are more than CNY 50,000 on the account of the applicant. (Only for applicants who apply for self-supporting programs).
10) Statement of not receiving any scholarships or forms of funding.
11) Other supporting materials. e.g. Applicants who apply to design-related majors are required to provide drawings or other materials."	IELTS 6.0	From now on to June 15, 2023	https://intl.csu.edu.cn/index.htm 	~5000$	https://intl.csu.edu.cn/Admission/Scholarship/type_b.htm	"Tel:+86-731-88836410, (non-medical majors consultation), 82650391(medical majors consultation)

Fax:+86-731-88836737

Email: admissions@csu.edu.cn"	
