Unnamed: 0	Unnamed: 1	Unnamed: 2	Основное	Unnamed: 4	Финансовая Помощь	Сроки	Unnamed: 7	Unnamed: 8	Unnamed: 9	Требования	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Дополнительно	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20
12.0	Chung-Ang University	Seoul	6500 - 8800 tuition	0.06	"TOPIK level 5        50% reduction in tuition
TOPIK level 6        100% reduction in tuition"	March 24 - April 18	June 2 - June 13			IELTS 5.5 TOEFL 71	Optional	Self-Introduction & Study plan		~150 USD		https://neweng.cau.ac.kr/cms/FR_CON/BoardView.do?MENU_ID=320&CONTENTS_NO=&SITE_NO=3&BOARD_SEQ=15&BOARD_CATEGORY_NO=&P_TAB_NO=&TAB_NO=&BBS_SEQ=295		11	601-800	"Business Administration and Global Finance
Global arts"
13.0	Pusan National University	Busan	3200 - 5000 tuition	0.15	"TOPIK Scholarship
        •        TOPIK Level 6: Full tuition waiver for both Tuition I and II
        •        TOPIK Level 5: Full waiver of Tuition II
        •        TOPIK Level 4: Waiver of Tuition I"		Mar 17 - Apr 4 			IELTS 5.5 TOEFL 80	Optional	Self-Introduction & Study plan		80 USD	https://go.pusan.ac.kr/college_2016/pages/index.asp?p=47&mj=06	https://www.pusan.ac.kr/eng/Main.do	https://www.pusan.ac.kr/eng/CMS/Contents/Contents.do?mCode=MN016	12	801-1000	"Global studies: 
Humanities and social sciences 
Natural Sciences 
Arts"
14.0	Gwangju Institute of Science and Technology	Gwangju	1850-2600$	0.15	"Tuition fee Fully waived        
Granted to all international students without any conditions"		декб 18-фев 11 			IELTS 5.5 TOEFL 80	Нужно предоставить	Self-Introduction & Study plan	One rec. letter	~120 USD	https://www.gist.ac.kr/iuadm/	http://www.gist.ac.kr	https://www.gist.ac.kr/iuadm/html/sub03/0301.html	16	501-600	"•        Electrical Engineering and Computer Science
        •        Materials Science and Engineering
        •        Mechanical Engineering
        •        Earth Sciences and Environmental Engineering
        •        Life Sciences
        •        Physics
        •        Chemistry
        •        Mathematics
        •        Biomedical Science and Engineering
        •        Energy Engineering
        •        Intelligent Robotics
        •        Culture Technology
        •        Humanities and Social Science"
15.0	Daegu Gyeongbuk Institute of Science and Technology	Daegu	6000$-12000$	0.25	1		December 4 - February 3			IELTS 6.0 TOEFL 80	Optional	Personal Statement or Essay	Needed	75-150USD	DGIST Internaional Graduate	Daegu Gyeongbuk Institute of Science&Technology (dgist.ac.kr)		11	351-400	Basic Scinece & Engeenering 
16.0	Ewha Womans University	Seoul	$3,505-$3,806	30-40%	"- Ewha Global Partnership Program (EGPP):
Covers full tuition + living stipend (for top-tier applicants).
Undergraduate* -Freshman: max 8 semesters
Requires GPA ≥ 3.5/4.0 and leadership potential.

-ISS(International Students Scholarship)
Applicants seeking admission for
undergraduate programs (freshman)
through the special admissions process
for international applicants
Full tuition (including admission fee)
"	March 5, 2025 13:00 ~  April 7, 2025 17:00				IELTS 6.0 TOEFL 80	Optional	Self-Introduction & Study plan		~120 USD	http://isa.ewha.ac.kr/oisa/1445/subview.do	https://www.ewha.ac.kr/ewhaen/index.do		12	601-800	"International Studies
Global Korean Studies*

Majors marked with an asterisk: All major courses are conducted in English (with a number of mandatory
liberal arts courses conducted in Korean).

"
17.0	Ajou University	Suwon 	5880$	0.4	"Ajou Frontier Scholarship G
        •        Amount: 100% tuition waiver
        •        Duration: from 1 semester up to 4 years
        •        Conditions: Recommended by the Vice President for International Affairs for outstanding academic achievements

For English track freshman/transfer scholarship, scholarships are awarded based on TOEFL IBT, IELTS or an equivalent official English proficiency test score"	April 14 2025 -  May 30 2025				IELTS 5.5 TOEFL 80	Optional	Statement of Purpose, recommendation letter, CV 	Needed	90 USD	UNIST | A world-class science and technology leading university that contributes to human life	Ajou University		17	1204	"

International Business(English Track)
Business Administration (English Track) 
IT Business major (English Track)"
18.0	Konkuk University	Seoul	1064-4577$	0.15	"Superior Grade scholarship - GPA 3.0/4.5, TOPIK 4 Level,
top 5 % of Students will receive the scholarship 2,000,000

STEP-UP scholarship -  GPA 2.0/4.5 12 Earn a better GPA compared to previous semester /up to 25% of total international students - 600,000
~1,000,000
"	April 3 (Thu) – April 18 (Fri), 2025	"May 26 (Mon) – June 9 (Mon), 2025 
"			IELTS 5.5 TOEFL 80	Optional	Self-Introduction & Study plan		107 USD		https://english.kku.ac.kr/mbshome/mbs/wwwen/index.do		13	551-560	"В гайдах нет точной информации про english track/ english taugh programms
"
19.0	Inha University 	Seoul	5140-6600$	0.07	"
SGCS Students:
TOEFL IBT 115 or IELTS 9 or higher - 2 year
TOEFL IBT 106 or IELTS 8 or higher - 1 year full tuition fee
TOEFL IBT 96, IELTS 7 or higher - 1 semester full tuition fee
TOEFL IBT 90, IELTS 6.5 or higher - 1 semester h
"	24.03.2025 - 25.04.2025				IELTS 5.5 TOEFL 80	Optional	Personal statement, letter of consent	Needed 	free	https://eng.inha.ac.kr/eng/3718/subview.do 	Inha University		14	946	"IBT(International Business & Trade)
ISE (Integrated System Engineering)"
20.0	Yeungnam University	Daegu	5294$-8086$	0.4	"Без топика
Second semester and afterwards:
30% Tuition Waiver - GPA 2.5~3.0"	2025.03.10. 09:00~03.27. 17:00	2025.06.11 09:00~2025.07.02. 17:00			IELTS 5.5 TOEFL 80	Optional	Personal Statement or Essay, Study plan 	Needed	48USD	Undergraduate Application Overview - Yeungnam University (yu.ac.kr)	Undergraduate Application Overview - Yeungnam University (yu.ac.kr)		21	1344	"Global Studies (Saemaul Studies & International
Development): English Track
Global Studies (Computer Engineering Major): English
Track

In the case of English Track, only students enrolled in universities with relevant agreements are eligible to apply, and admission will be conducted according to the agreement."
21.0	Jeonbuk National University	Seoul	1490-1869$	0.2	"Academic Excellence Scholarship: 
- Type 1 Scholarship: 100% tuition exemption - TOPIK level 6 or IELTS 8 or higher
- Type 3 Scholarship: Approx. 40% tuition exemption - TOPIK level 5 or higher (IELTS 7.5)
- Type 5 Scholarship: Approx. 15% tuition exemption - within budget range among those who have other official language proficiency scores

Link Scholarship:
- Type 3 Scholarship: Approx. 40% tuition exemption - Those who have completed 4 or more semesters of the Korean language course at Jeonbuk National University in the past 2 years and have TOPIK Level 3 or higher;Those who have completed 6 or more semesters of the Korean language course at Jeonbuk National University in the past 2 years 5 types of scholarships Approximately 15% of tuition fee exemption
- Type 5 Scholarship: Approx. 15% tuition exemption - Those who have completed 2 or more semesters of the Korean language course at Jeonbuk National University in the past 2 years and have TOPIK Level 3 or higher; Those who have completed 3 or more semesters of the Korean language course at Jeonbuk National University in the past 2 years "	17 March - 28 March	30 April - 14 May			IELTS 5.5 TOEFL 80	Optional	Self-Introduction & Study plan		80 USD		https://www.jbnu.ac.kr/eng/		"18 (US News)
20 (QS)
26 (THE)
"	591-600	International Studies (International Studies Major), International Engineering and Science (Engineering Science Majors)
22.0	Sogang University	Seoul	$3464-$4482 (as of 2024)	30-40%	" Sogang Excellence Scholarship Ⅰ
 Beneficiaries: Students with highest entrance scores (Up to top 1% whose application is evaluated as 
outstanding)
 Benefits: Full scholarship (full tuition fee) for 8 semesters 
6 semesters for 2nd year transfers, 4 semesters for 3rd year transfers ※ 
Conditions: Continuous scholarship when the beneficiary completes 12 or more academic credits for the 
preceding semester and maintains a GPA of 2.80 or above out of 4.30
 Sogang Excellence Scholarship Ⅱ
 Beneficiaries: Students with excellent entrance scores (in the top 3% of successful candidates except the 
recipient(s) of Sogang Excellence Scholarship I whose application is evaluated as outstanding)
 Benefits: Full scholarship (full tuition fee) for 2 semesters 
Conditions: Continuous scholarship when the beneficiary completes 12 or more academic credits for the 
preceding semester and maintains a GPA of 2.80 or above out of 4.30
 Sogang Excellence Scholarship Ⅲ
 Beneficiaries: Selected from within the 5% of the final admitted students
 Benefits: 100% scholarship (100% tuition fee) for the first semester
 

 Admission Scholarship Ⅰ
 Beneficiaries: Selected from within the 10% of the final admitted students.
 Benefits: 50% scholarship (50% tuition fee) for the first semester
 Admission Scholarship Ⅱ
 Beneficiaries: Selected from within the 25% of the final admitted students.
 Benefits: 25% scholarship (25% tuition fee) for the first semester
 Admission Scholarship Ⅲ
 Beneficiaries: Selected from within the 50% of the final admitted students.
 Benefits: 10% scholarship (10% tuition fee) for the first semester
 
 
 Language Excellence Scholarship Ⅰ
 Beneficiaries: Student(s) who have completed Level 6 of the Sogang KLEC Language Program or the 
student(s) or a valid TOPIK level 6 score whose application is evaluated as outstanding
 Benefits: Full scholarship (full tuition fee) for the first semester
 Language Excellence Scholarship Ⅱ
 Beneficiaries: Student(s) who have completed Level 5 of the Sogang KLEC Language Program or student(s) or 
a valid TOPIK level 5 score whose application is evaluated as outstanding
 Benefits: Half scholarship (halved tuition fee) for the first semester
 Sogang KLEC Scholarship
 Beneficiaries: Student(s) who have completed Level 3 or above of the Sogang KLEC Language Program
 Benefits: 25% scholarship (25% of tuition fee) for the first semester
  "	7 April - 16 May 				IELTS 5.5 TOEFL 80	Optional	Self-Introduction & Study plan	One letter	~100 USD	https://wwwe.sogang.ac.kr/wwwe/admissionprograms.html	https://wwwe.sogang.ac.kr/wwwe/index_new.html	https://wwwe.sogang.ac.kr/wwwe/scholarships.html	20	801-1000	"Division of English (American Culture)
Economics
Business Administration
Division of Global Korean Studies (Global Korean Studies)
Geppert School of International Studies (International Commerce, International Relations, Asian Studies)"
23.0	Chonnam National University	Gwangju	3390-4500$	0.25	"Global Scholarship
Full tuition waiver for the first semester
Applicants are not required to submit a separate form of application
All successful applicants will be considered as candidates for Global Scholarship

TOPIK Scholarship
Full tuition waiver for the first semester
Applicants who hold a TOPIK Level 6
An Applicant who submit an expired certificate will not be considered as a scholarship beneficiary

SRS (Strategic Researchers Scholarship), BK SRS (BK Strategic Researchers Scholarship)
Full tuition waiver for the first semester
Applicants must have a prospective advisor professor in CNU to be considered as a candidate for SRS
• Applicants are not required to submit a form of application • Selection for applicants of BK department
* Applicants must have a prospective advisor professor in CNU to be considered as a candidate for SRS
• Applicants are not required to submit a form of application

Academic Excellence Scholarship
Partial tuition waiver for the first semester (about 12-17% deduction)
Applicants are not required to submit a separate form of application in order to apply for Academic Excellence Scholarship. 
All successful applicants will be considered as candidates for Academic Excellence Scholarship"	1 April - 25 April				IELTS 5.5 TOEFL 80	Optional	Personal Statement or Essay & study plan 	Optional 	45-115USD	https://www.bing.com/ck/a?!&&p=1e05139794af602fJmltdHM9MTcyNDExMjAwMCZpZ3VpZD0wMzNiZWRhYy0wYzcwLTYyNWYtMDk2NC1mZTI4MGQyNzYzMzImaW5zaWQ9NTQxNQ&ptn=3&ver=2&hsh=3&fclid=033bedac-0c70-625f-0964-fe280d276332&u=a1L3NlYXJjaD9xPXNpdGU6aW50ZXJuYXRpb25hbC5qbnUuYWMua3IrY2hvbm5hbStuYXRpb25hbCt1bml2ZXJzaXR5K2FwcGx5KyZmb3JtPURMSU5LUg&ntb=1	전남대학교 국제협력과 홈페이지 (jnu.ac.kr)		24	1086	Polymer Engineering, Agricultural Chemistry, Wood Science and Engineering, Wood Science and Landscape Architecture, English Language
24.0	Chungnam National University 	Daejeon 	1338-1890$	0.3	"Freshman - Foreign student who received upper admissions result  - Some portion of Tuition
(only for first semester)
Require TOPIK Level 5 or above Qualified Applicants 100% of Tuition
(only for first semester)
Require TOPIK Level 4 Qualified applicants - Some portion of Tuition
(only for first semester)

Student whose average scores are above 2.75 in a recent semester and who completed 15 credits -
 A portion of tuition"	22 April - 31 May				IELTS 5.5 TOEFL 80	Optional	Statement of Purpose & Study plan	Optional 	75-150USD	https://plus.cnu.ac.kr/html/en/sub03/sub03_0304.html	 https://www.cnu.ac.kr/		15	989	International Studies
25.0	University of Seoul	Seoul	3500-4840$	0.49	"Full-tuition scholarship: top 10 percent of international students
Half-tuition scholarship: between the top 10 and 20 percent of international students"	15 April - 24 April				IELTS 5.5 TOEFL 80	Нужно предоставить	Self-Introduction & Study plan		~100 USD	https://ipsi2.uwayapply.com/foreign/uos/?CHA=1	https://english.uos.ac.kr	https://iice.uos.ac.kr/iice/schola/admissions.do?epTicket=LOG	24-33	1001+	No information. But the university has Korean language requirements (TOPIK).
26.0	HUFS	Seoul	$9806	0.44	 Full exchange tuition waiver	Apr 30; final: Jun 5, 2025	April 14 - May 30			IELTS 5.5 TOEFL 80	Optional	Self-Introduction & Study plan		158 USD		www.hufs.ac.kr		13	392	"International Studies
International Economics and Law
English Linguistics and Language Technology"
27.0	Dongguk University	Seoul	4500 - 6000 tuition	0.08	"First semester of admission
Holder of TOPIK level 3        30% of tuition
Holders of TOPIK level 4 or higher        50% of tuition"	30.04.2025 – scholarship; 05.06.2025 – final	27 мая - 5 июня			IELTS 5.5 TOEFL 80	Optional	Self-Introduction & Study plan	Need	100 USD	https://iadmission.dongguk.edu/dkglobal3_1_en?sca=Undergraduate	https://www.dongguk.edu/eng/main	https://iadmission.dongguk.edu/dkglobal3_2_en?sca=Undergraduate	15	456	does not offer a fully English-taught undergraduate program
28.0	Soongsil University	Seoul	2200-4800	0.3	"1.        Soongsil Global Scholarship

        •        100% tuition waiver for applicants with TOPIK level 5 or higher
        •        70% tuition waiver for applicants with TOPIK level 4
        •        40% tuition waiver for applicants with TOPIK level 3 or those who completed level 4+ at Soongsil Korean Language Institute
        •        30% tuition waiver for applicants with high scores on Soongsil Korean language test
        •        Entrance fee waiver for applicants who completed at least one semester at Soongsil Korean Language Institute

        2.        TOPIK Achievement Scholarship

        •        One-time payment of 300,000 KRW for students who achieve TOPIK level 5 or higher after enrollment (if not previously awarded)

        3.        Soongsil Exchange Student Scholarship (SESS)

        •        Free dormitory accommodation for one semester
        •        Condition: Students must teach Korean students their native language and culture for 4 hours per week
"	1 апреля 2025 – 7 апреля 2025	4 июня 2025 – 10 июня 2025			IELTS 5.5 TOEFL 80	Optional	Self-Introduction & Study plan	Optional 	40-70USD	Soongsil University (ssu.ac.kr)	 https://www.bing.com/ck/a?!&&p=f8a10ca7f97c1625JmltdHM9MTcyNDAyNTYwMCZpZ3VpZD0wMzNiZWRhYy0wYzcwLTYyNWYtMDk2NC1mZTI4MGQyNzYzMzImaW5zaWQ9NTIyNA&ptn=3&ver=2&hsh=3&fclid=033bedac-0c70-625f-0964-fe280d276332&psq=soongsil+university&u=a1aHR0cHM6Ly9zdHVkeS5zc3UuYWMua3IvZW4vbWFpbi9tYWluLmRv&ntb=1 		29	1681	
29.0	Korea University of Technology and Education (KOREATECH)	Seoul	2000-2600$	0.3	GKS		July 7 - July 10			IELTS 5.5 TOEFL 80	Optional	Statement of Purpose & Study plan	Optional 	75-150USD	https://www.bing.com/ck/a?!&&p=1c13d5e20e6f3096JmltdHM9MTcyNDAyNTYwMCZpZ3VpZD0wMzNiZWRhYy0wYzcwLTYyNWYtMDk2NC1mZTI4MGQyNzYzMzImaW5zaWQ9NTE5NQ&ptn=3&ver=2&hsh=3&fclid=033bedac-0c70-625f-0964-fe280d276332&psq=Korea+University+of+Technology+and+Education+(KOREATECH)+apply&u=a1aHR0cHM6Ly93d3cua29yZWF0ZWNoLmFjLmtyL21lbnUuZXM_bWlkPWEyMDMwMTAzMDAwMA&ntb=1  	KOREA UNIVERSITY OF TECHNOLOGY (koreatech.ac.kr)		71	3863	"School of Mechanical Engineering, School of Electrical, Electronics and Communication
♦ Engineering, School of Computer Science and Engineering, School of Industrial 
Management, School of Energy, Materials and Chemical Engineering, School of Design 
and Human Engineering, School of Smart Factory Convergence."
30.0	Hallym University	Seoul 	6697$-9000$	0.2	"50% tuition fee for newly admitted students 
40% tuition fee and KRW 200,000 book grant for students with Hallym TOPIK 2
50% tuition fee and KRW 400,000 book grant for students with Hallym TOPIK 3
50% tuition fee, KRW 500,000 book grant, and entrance fee for students with Hallym TOPIK 4
70% tuition fee, KRW 500,000 book grant, and entrance fee for students with Hallym TOPIK 5 or higher"		May 26 ~ June 27			IELTS 5.5 TOEFL 80	Optional	Study plan, letter of consent, resume 	Needed	38-75USD	글로벌교류센터(영문) | Admission | Undergraduate | Apply now & Admission guide (hallym.ac.kr)			40	2290	global business, korean stidies, english language&literature
31.0	Sungshin Women’s University	Seoul 	5550$-7890$	0.35	"Sungshin University offers scholarships for international students based on TOPIK scores (up to 100% 
 tuition waiver), academic performance (GPA-based), language course excellence, and participation in
 school activities. A welcome scholarship and government-funded Global Korea Scholarship (GKS) are 
also available.
"	2 апр - 16 апр 	25 июня - 9 июля 			IELTS 5.5 TOEFL 80	Optional	Video interview or Face-to-face interview	Needed	38-75USD	Admissions > Korean Language School > Registration & Application > | 성신여자대학교 (sungshin.ac.kr)	https://www.sungshin.ac.kr/main_eng/index.do		47	901-950	"English Linguistics 
English Grammar through Media
Applied English Linguisitics 
English Phonetics and Phonology 
English Syntax 
English Semantics and Pragmatics
Sociolinguistics
The Adventure of the English Language"
32.0	Kookmin University	Seoul 	6360$-9360$ + entrance fee 	0.76	"All freshmen students
20% of Tuition fee
Students who acquired TOPIK Level 6
Students who are equivalent to IELTS 8.0 or higher
100% of Tuition fee
Students who acquired TOPIK Level 5
Students who are equivalent to IELTS 7.5 or higher
70% of Tuition fee
Students who acquired TOPIK Level 4
Students who are equivalent to IELTS 7.0 or higher
50% of Tuition fee
Students who acquired TOPIK Level 3
Students who are equivalent to IELTS 6.5 or higher
30% of Tuition fee"	Mid-April – April 18	April 19 – May 30	June – July 11		IELTS 6.5 TOEFL 90	Optional	Partfolio 	Optional 	70USD	Undergraduate - Admissions > Undergraduate - Kookmin University		Kookmin University	29	1651	"KMU International Business School (KIBS)
English for Global Communication"
33.0	Jeju National University 	Jeju island 	2100$-2260$	0.38	"GKS, Full tuition fees for students with TOPIK level 5 or higher and belonging to the top 8.5% of 
international students for admissions
20% tuition fee waiver for students with TOPIK level 3 or higher"	22 апреля - 25 апреля 	3 июня - 7 июня			IELTS 5.5 TOEFL 80	Optional	Study plan, personal statement	Needed 	38-75USD	Проблема конфиденциальности (jejunu.ac.kr)	제주대학교 (jejunu.ac.kr)		45	2447	Management,data security engineering,civil engineering, performing arts 
34.0	Hongik University	Seoul	7854$-10521$		"1.        Hongik Global Scholarship
        •        Designed for international students, including those studying in English.
        •        Requires a good level of Korean language proficiency (usually TOPIK level 5 or higher), but in some cases, English proficiency may also be considered.
        •        Covers tuition fees and part of the living expenses.
        2.        Good GPA Scholarship
        •        Available to all students, including those enrolled in English-taught programs.
        •        Based on academic performance (GPA).
        3.        Global Korea Scholarship (GKS)
        •        A government scholarship for international students regardless of their language of instruction.
        •        Supports tuition, living expenses, and other costs."	24 февр - 7 марта 	12 мая - 19 мая 2025			IELTS 6.5 TOEFL 90	Optional	Partfolio 	Needed	75USD	Hongik University | [Application Closed] 2024 GKS-G (일반) Application Forms & Guidelines (University Track-General)			36	1201-1400	"BA in Education
BA in Economics
BA in English Language & Literature
BA in French Language & Literature
BA in German Language & Literature
BA in Korean Language & Literature
BBA in Business Administration
B.Tech in Electronic and Electrical Engineering
B.Tech in Civil Engineering
B.Tech in Mechanical & System Design Engineering
B.Tech in Industrial & Information Engineering"
35.0	Dankook University 	Yongin|Cheonan  	4680$-5000$	0.4	"GKS, Scholarship for Foreign Students from Uni
Minimum IELTS 5.5 or TOEFL IBT 71 - 50% of tuition waiver (1st semester) 
Minimum IELTS 6.5 or TOEFL IBT 80 60% of tuition waiver (1st semester)
Minimum IELTS 7.0 or TOEFL IBT 105 70% of tuition waiver (1st semester)
Minimum IELTS 7.5 or TOEFL IBT 110 100% of tuition waiver and dormitory fee (1st semester) "	Apr 3 ~ April 18	 June 2 -  June 16 			IELTS 5.5 TOEFL 80	Optional	Study plan, personal statement	Needed	-	Admission Guide - DKU International (dankook.ac.kr)	DKU International (dankook.ac.kr)		22	1363	"International Business Administration
Korea Studies (New)
Mobile Systems Engineering
Bio and Material Engineering (New)"
